"...1";"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"info";"Brondata";"Verklaring"
"1";"<ALL>";"<ALL>";"h=1,3+exp(P1+P2/d)";"global";3,5534513;-11,727458;0,935;2,979;916;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten"
"2";"<ALL>";"14";"h=1,3+exp(P1+P2/d)";"global";3,5194062;-11,183711;0,638;1,165;14;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"3";"<ALL>";"16";"h=1,3+exp(P1+P2/d)";"global";3,4873781;-10,833874;0,963;1,995;142;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"4";"<ALL>";"24";"h=1,3+exp(P1+P2/d)";"global";3,837287;-30,536456;0,658;2,901;17;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"5";"<ALL>";"27";"h=1,3+exp(P1+P2/d)";"global";3,3018856;-10,97961;0,776;2,453;37;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"6";"<ALL>";"28";"h=1,3+exp(P1+P2/d)";"global";2,839142;-5,6580858;0,83;0,983;19;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"7";"<ALL>";"39";"h=1,3+exp(P1+P2/d)";"global";3,3323149;-10,065816;0,915;2,112;5;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"8";"<ALL>";"4";"h=1,3+exp(P1+P2/d)";"global";3,2803078;-9,4629575;0,795;2,159;10;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"9";"<ALL>";"57";"h=1,3+exp(P1+P2/d)";"global";3,4778521;-9,6805527;0,995;0,908;8;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"10";"<ALL>";"7";"h=1,3+exp(P1+P2/d)";"global";3,6633311;-11,501265;0,896;3,213;198;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"11";"<ALL>";"80";"h=1,3+exp(P1+P2/d)";"global";3,5717583;-11,601945;0,958;3,025;5;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"12";"<ALL>";"87";"h=1,3+exp(P1+P2/d)";"global";3,5256405;-12,267228;0,939;2,201;409;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"13";"<ALL>";"9";"h=1,3+exp(P1+P2/d)";"global";3,4518787;-10,553887;0,935;2,064;38;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"14";"199";"31";"h=1,3+exp(P1+P2/d)";"adjusted global";3,3896608;-11,727458;NA;NA;2;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"15";"199";"32";"h=1,3+exp(P1+P2/d)";"adjusted global";3,5717078;-11,727458;NA;NA;3;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"16";"199";"50";"h=1,3+exp(P1+P2/d)";"adjusted global";3,2465911;-11,727458;NA;NA;2;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"17";"199";"63";"h=1,3+exp(P1+P2/d)";"adjusted global";3,8757031;-11,727458;NA;NA;3;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"18";"199";"64";"h=1,3+exp(P1+P2/d)";"adjusted global";3,4677586;-11,727458;NA;NA;3;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"19";"199";"89";"h=1,3+exp(P1+P2/d)";"adjusted global";3,5257213;-11,727458;NA;NA;1;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"20";NA;"83";"h=1,3+exp(P1+P2/d)";"global";3,5534513;-11,727458;NA;NA;0;"Everzwijnbad";NA;"1eSET+2eSET+3eSET";"globale hoogtecurve van geclusterde soorten"
