"...1";"PlotID";"Species";"Model";"Source";"P1";"P2";"R";"Syx";"n";"BR";"Brondata";"Verklaring"
"1";"<ALL>";"<ALL>";"h=1,3+exp(P1+P2/d)";"global";3,3552385;-12,648333;0,891;2,638;227;"Withoefse heide";"Transect1eSET+ CP1e3eSET";"globale hoogtecurve van geclusterde soorten"
"2";"<ALL>";"101";"h=1,3+exp(P1+P2/d)";"global";3,2678618;-6,0799376;0,139;1,62;10;"Withoefse heide";"Transect1eSET+ CP1e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"3";"<ALL>";"26";"h=1,3+exp(P1+P2/d)";"global";3,3493412;-13,245395;0,857;2,861;120;"Withoefse heide";"Transect1eSET+ CP1e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"4";"<ALL>";"3";"h=1,3+exp(P1+P2/d)";"global";3,6079744;-19,933352;0,972;1,356;5;"Withoefse heide";"Transect1eSET+ CP1e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"5";"<ALL>";"57";"h=1,3+exp(P1+P2/d)";"global";3,3637203;-11,450544;0,936;1,888;66;"Withoefse heide";"Transect1eSET+ CP1e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"6";"<ALL>";"87";"h=1,3+exp(P1+P2/d)";"global";3,444059;-15,486648;0,882;2,864;23;"Withoefse heide";"Transect1eSET+ CP1e3eSET";"eigen curve: voldoende bomen voor de soort beschikbaar"
"7";"299";"39";"h=1,3+exp(P1+P2/d)";"adjusted global";3,0451496;-12,648333;NA;NA;1;"Withoefse heide";"Transect1eSET+ CP1e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"8";"299";"6";"h=1,3+exp(P1+P2/d)";"adjusted global";3,3552385;-12,648333;NA;NA;0;"Withoefse heide";"Transect1eSET+ CP1e3eSET";"globale hoogtecurve van geclusterde soorten"
"9";"299";"63";"h=1,3+exp(P1+P2/d)";"adjusted global";2,927382;-12,648333;NA;NA;2;"Withoefse heide";"Transect1eSET+ CP1e3eSET";"globale hoogtecurve van geclusterde soorten, intercept aangepast aan soort"
"10";"299";"86";"h=1,3+exp(P1+P2/d)";"adjusted global";3,3552385;-12,648333;NA;NA;0;"Withoefse heide";"Transect1eSET+ CP1e3eSET";"globale hoogtecurve van geclusterde soorten"
